ms_subclass,ms_zoning,land_contour,lot_config,neighborhood,condition_1,bldg_type,house_style,overall_qual,roof_style,exterior_1st,exterior_2nd,mas_vnr_type,exter_qual,foundation,bsmt_qual,total_bsmt_sf,gr_liv_area,kitchen_qual,garage_type,garage_cars,sale_type,saleprice,total_bath
60,RL,Lvl,Corner,Gilbert,Norm,1Fam,2Story,6,Gable,HdBoard,HdBoard,None,2,PConc,4,916.0,1636,2,Attchd,2.0,WD ,173000,3.0
60,RL,Lvl,CulDSac,NoRidge,Norm,1Fam,2Story,8,Gable,VinylSd,VinylSd,BrkFace,3,PConc,4,1152.0,2270,3,Attchd,3.0,WD ,290000,3.0
60,FV,Lvl,Inside,Somerst,Norm,1Fam,2Story,8,Gable,CemntBd,CmentBd,None,3,PConc,4,1184.0,2610,4,BuiltIn,2.0,New,303477,3.0
20,RL,Low,Inside,ClearCr,Norm,1Fam,1Story,7,Hip,Wd Sdng,Wd Sdng,None,3,CBlock,4,1420.0,1483,2,Attchd,2.0,WD ,270000,3.0
50,RM,Lvl,Corner,OldTown,Artery,1Fam,1.5Fin,5,Gable,WdShing,Wd Shng,None,1,BrkTil,3,936.0,1740,4,Detchd,1.0,WD ,122250,1.0
20,RL,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,Gable,AsbShng,AsbShng,None,2,CBlock,3,1382.0,1382,3,Attchd,1.0,WD ,153000,2.0
20,RL,Lvl,Inside,Mitchel,Feedr,1Fam,1Story,5,Gable,VinylSd,VinylSd,None,2,PConc,4,1120.0,1120,2,NA,0.0,New,147000,1.0
70,RL,Lvl,Inside,Crawfor,Norm,1Fam,2Story,7,Gable,Wd Sdng,Wd Sdng,None,2,BrkTil,4,531.0,1098,2,Detchd,1.0,WD ,148500,2.0
160,RM,Lvl,Inside,Edwards,Norm,TwnhsE,2Story,7,Gable,VinylSd,VinylSd,Stone,3,PConc,4,976.0,1708,3,Detchd,2.0,WD ,130000,2.0
20,RL,HLS,Corner,NridgHt,Norm,1Fam,1Story,9,Hip,MetalSd,MetalSd,Stone,4,PConc,5,1802.0,1802,4,Attchd,3.0,WD ,372000,3.0
120,RL,Lvl,Inside,Blmngtn,Norm,TwnhsE,1Story,7,Gable,VinylSd,VinylSd,BrkFace,3,PConc,4,1362.0,1506,3,Attchd,2.0,WD ,213490,2.0
20,RL,Lvl,Inside,Edwards,Norm,1Fam,1Story,7,Gable,VinylSd,VinylSd,Stone,3,PConc,4,1508.0,1508,3,Attchd,2.0,Con,308030,2.0
20,RL,Lvl,Inside,Mitchel,Norm,1Fam,1Story,7,Gable,MetalSd,MetalSd,BrkFace,3,PConc,5,1840.0,2032,3,Attchd,3.0,WD ,300000,4.0
20,RL,Lvl,Corner,NAmes,Norm,1Fam,1Story,6,Hip,BrkFace,BrkFace,None,2,CBlock,3,655.0,1194,2,BuiltIn,2.0,WD ,159500,2.0
160,RM,Lvl,Inside,Edwards,Norm,Twnhs,2Story,7,Gable,VinylSd,VinylSd,Stone,3,PConc,4,970.0,1709,3,Detchd,2.0,WD ,137500,2.0
20,RL,Lvl,Inside,Somerst,Norm,1Fam,1Story,7,Gable,VinylSd,VinylSd,BrkFace,3,PConc,4,1616.0,1616,3,Attchd,3.0,WD ,232000,2.0
30,RM,Lvl,Inside,IDOTRR,RRNe,1Fam,1Story,6,Gable,Stucco,Wd Shng,None,3,BrkTil,3,768.0,768,2,Detchd,2.0,WD ,93850,1.0
30,RL,Lvl,Inside,Sawyer,Norm,1Fam,1Story,5,Gable,BrkFace,Wd Sdng,Stone,2,BrkTil,3,872.0,872,1,Detchd,1.0,WD ,105000,1.0
30,RM,Lvl,Inside,BrkSide,Feedr,1Fam,1Story,4,Gable,MetalSd,MetalSd,None,2,BrkTil,3,520.0,520,1,Detchd,1.0,WD ,68500,1.0
90,RL,Lvl,Corner,NAmes,Feedr,Duplex,2Story,5,Gable,MetalSd,MetalSd,BrkFace,2,CBlock,3,1105.0,2274,2,Detchd,2.0,WD ,154300,2.0
50,RM,Lvl,Inside,IDOTRR,Artery,1Fam,1.5Fin,5,Gable,VinylSd,VinylSd,None,3,BrkTil,3,936.0,1601,2,NA,0.0,WD ,129850,2.0
70,RM,Lvl,Inside,OldTown,Norm,1Fam,2Story,5,Gable,MetalSd,MetalSd,None,2,BrkTil,3,616.0,1232,2,Detchd,2.0,WD ,114000,1.0
20,RL,Lvl,CulDSac,StoneBr,Norm,1Fam,1Story,9,Hip,VinylSd,VinylSd,Stone,4,PConc,5,2216.0,2234,4,Attchd,3.0,New,501837,3.0
50,RM,Lvl,Inside,OldTown,Artery,1Fam,1.5Fin,5,Gable,Wd Sdng,Wd Sdng,None,2,BrkTil,3,876.0,1416,2,Detchd,3.0,WD ,153900,2.0
20,RL,Lvl,FR2,NAmes,Norm,1Fam,1Story,4,Gable,VinylSd,VinylSd,None,2,CBlock,3,864.0,864,2,Detchd,2.0,WD ,130000,1.0
120,RM,Lvl,FR2,Mitchel,Norm,TwnhsE,1Story,6,Hip,VinylSd,VinylSd,BrkFace,2,PConc,5,1189.0,1189,2,Attchd,2.0,WD ,160500,3.0
120,RL,Lvl,Inside,NridgHt,Norm,TwnhsE,1Story,9,Hip,MetalSd,MetalSd,BrkFace,4,PConc,5,1666.0,1666,3,Attchd,2.0,New,310090,3.0
20,RL,Lvl,Inside,SawyerW,Norm,1Fam,1Story,7,Gable,VinylSd,VinylSd,NA,3,PConc,4,1176.0,1200,3,Attchd,2.0,WD ,184900,3.0
20,RL,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,Hip,Wd Sdng,Wd Sdng,None,2,CBlock,4,928.0,928,2,Attchd,1.0,WD ,132000,1.0
20,RL,Lvl,Inside,NWAmes,Feedr,1Fam,1Story,5,Gable,HdBoard,HdBoard,BrkFace,2,CBlock,4,1288.0,1336,2,Attchd,2.0,WD ,163000,3.0
160,FV,Lvl,Inside,Somerst,Norm,TwnhsE,2Story,7,Gable,MetalSd,MetalSd,BrkFace,3,PConc,4,600.0,1200,3,Detchd,2.0,ConLD,155000,3.0
80,RL,Lvl,Inside,NWAmes,Norm,1Fam,SLvl,6,Gable,MetalSd,MetalSd,None,2,CBlock,3,1427.0,1427,2,Attchd,2.0,WD ,183000,3.0
60,RL,Lvl,Corner,CollgCr,Norm,1Fam,2Story,7,Gable,VinylSd,VinylSd,BrkFace,3,PConc,4,860.0,1992,3,Attchd,2.0,WD ,211000,4.0
60,RL,Lvl,Inside,SawyerW,RRAe,1Fam,2Story,7,Gable,VinylSd,VinylSd,None,3,PConc,4,754.0,1540,3,Attchd,2.0,WD ,184000,4.0
80,RL,Lvl,Corner,NAmes,Norm,1Fam,SLvl,5,Hip,Wd Sdng,HdBoard,BrkFace,2,PConc,3,1152.0,1152,2,Attchd,2.0,WD ,180500,2.0
120,FV,Lvl,Inside,Somerst,Norm,TwnhsE,1Story,8,Gable,VinylSd,VinylSd,Stone,3,PConc,4,1141.0,1151,3,Attchd,2.0,New,166000,3.0
80,RL,Lvl,Inside,Sawyer,Norm,1Fam,SLvl,6,Hip,Wd Sdng,Wd Sdng,BrkFace,2,CBlock,3,1138.0,1138,2,Attchd,2.0,COD,148000,2.0
20,RL,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,Hip,Wd Sdng,Wd Sdng,None,2,CBlock,3,894.0,1074,3,Detchd,2.0,WD ,124000,1.0
120,RL,Lvl,Inside,NridgHt,Norm,TwnhsE,1Story,9,Hip,MetalSd,MetalSd,BrkFace,4,PConc,5,1561.0,1561,4,Attchd,2.0,WD ,277500,3.0
60,RL,Lvl,Inside,NoRidge,Norm,1Fam,2Story,8,Hip,VinylSd,VinylSd,BrkFace,3,PConc,4,1342.0,2726,3,Attchd,3.0,WD ,350000,3.0
20,RL,HLS,CulDSac,StoneBr,Norm,1Fam,1Story,9,Hip,VinylSd,VinylSd,BrkFace,4,PConc,5,1884.0,1884,4,Attchd,3.0,WD ,387000,3.0
30,RL,Lvl,Inside,Edwards,Norm,1Fam,1Story,4,Gable,Wd Sdng,Wd Sdng,None,2,BrkTil,3,528.0,605,2,NA,0.0,WD ,86000,2.0
20,RL,Lvl,Inside,Veenker,Norm,1Fam,1Story,8,Gable,VinylSd,VinylSd,None,4,CBlock,4,1426.0,1671,4,Attchd,2.0,WD ,290000,4.0
30,C (all),Lvl,Corner,IDOTRR,Norm,1Fam,1Story,3,Mansard,AsbShng,AsbShng,None,2,CBlock,2,245.0,797,2,NA,0.0,WD ,44000,1.0
60,RL,Lvl,CulDSac,Mitchel,Norm,1Fam,2Story,6,Gable,VinylSd,VinylSd,None,2,PConc,5,804.0,1961,3,BuiltIn,2.0,WD ,215000,4.0
190,RL,Lvl,Corner,NWAmes,RRAn,2fmCon,1Story,5,Gable,Plywood,Plywood,BrkFace,2,CBlock,4,1153.0,1193,2,Attchd,2.0,WD ,146500,3.0
160,FV,Lvl,FR2,Somerst,Norm,Twnhs,2Story,7,Gable,MetalSd,MetalSd,None,3,PConc,4,673.0,1382,3,Detchd,2.0,WD ,165000,4.0
50,RM,Lvl,Inside,OldTown,Artery,1Fam,1.5Fin,6,Gable,Stucco,Stucco,None,2,BrkTil,3,714.0,2526,3,Detchd,1.0,CWD,136000,2.0
20,RL,Low,CulDSac,NAmes,Norm,1Fam,1Story,6,Gable,Wd Sdng,Wd Sdng,Stone,2,CBlock,4,1705.0,1390,4,Attchd,2.0,WD ,252000,3.0
160,RL,Lvl,Inside,NridgHt,Norm,Twnhs,2Story,7,Gable,VinylSd,Wd Shng,Stone,3,PConc,4,764.0,1626,3,BuiltIn,2.0,WD ,175500,3.0
70,RM,Lvl,Inside,OldTown,Norm,1Fam,2Story,5,Gable,Wd Sdng,Wd Sdng,None,2,BrkTil,3,690.0,1558,2,Detchd,2.0,WD ,150000,2.0
20,RL,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,Hip,Wd Sdng,Wd Sdng,None,2,CBlock,3,978.0,1422,2,Attchd,1.0,WD ,139900,1.0
50,RM,Lvl,Inside,BrkSide,Norm,1Fam,1.5Fin,5,Gable,MetalSd,MetalSd,None,2,PConc,3,1078.0,1573,2,Detchd,2.0,WD ,162900,2.0
20,RL,Lvl,Corner,NAmes,Norm,1Fam,1Story,6,Hip,Wd Sdng,Wd Sdng,BrkFace,2,CBlock,3,1116.0,1116,2,Attchd,2.0,WD ,160000,2.0
20,RL,Lvl,Inside,NWAmes,Norm,1Fam,1Story,6,Gable,HdBoard,HdBoard,BrkFace,2,PConc,3,1140.0,1707,2,Attchd,2.0,WD ,184000,2.0
20,RL,Lvl,Inside,Edwards,Norm,1Fam,1Story,5,Gable,HdBoard,Plywood,BrkFace,2,CBlock,3,1466.0,1466,1,Attchd,2.0,WD ,149900,2.0
120,FV,Lvl,Inside,Somerst,Norm,TwnhsE,1Story,9,Hip,MetalSd,MetalSd,BrkFace,3,PConc,4,1614.0,1638,4,Attchd,2.0,WD ,300000,3.0
190,RL,Lvl,Corner,ClearCr,Norm,1Fam,1Story,5,Flat,Plywood,Plywood,Stone,2,CBlock,3,988.0,1721,2,Basment,2.0,WD ,145000,3.0
60,RL,Lvl,Inside,CollgCr,Norm,1Fam,2Story,6,Gable,VinylSd,VinylSd,None,2,PConc,4,928.0,1764,3,Attchd,2.0,WD ,231500,4.0
30,RL,Lvl,Inside,Edwards,Norm,1Fam,1Story,5,Gable,WdShing,Wd Shng,None,2,CBlock,3,996.0,996,2,NA,0.0,WD ,108000,2.0
20,RL,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,Gable,BrkFace,BrkFace,None,2,CBlock,3,1202.0,1202,2,Attchd,1.0,COD,120000,2.0
20,RL,Lvl,Inside,Sawyer,Norm,1Fam,1Story,5,Hip,Wd Sdng,Wd Sdng,BrkFace,2,CBlock,3,988.0,988,2,Detchd,2.0,WD ,128500,2.0
30,RM,Lvl,Inside,OldTown,Artery,1Fam,1Story,5,Gable,WdShing,Wd Shng,None,2,CBlock,3,1008.0,1028,2,Detchd,2.0,WD ,115000,1.0
50,RM,Lvl,Inside,OldTown,Norm,1Fam,1.5Fin,5,Gable,AsbShng,AsbShng,None,2,CBlock,3,720.0,1284,2,Detchd,1.0,WD ,110000,2.0
60,RL,Lvl,CulDSac,Veenker,Norm,1Fam,2Story,9,Mansard,Wd Sdng,Wd Sdng,BrkFace,3,CBlock,4,994.0,2944,3,Attchd,3.0,WD ,150000,4.0
60,RL,Lvl,Inside,Gilbert,Norm,1Fam,2Story,8,Gable,VinylSd,VinylSd,None,3,PConc,5,707.0,1414,3,Attchd,2.0,WD ,178000,3.0
70,RL,HLS,Inside,Crawfor,Norm,1Fam,2Story,7,Gable,Wd Sdng,Wd Sdng,None,2,BrkTil,3,637.0,1609,3,2Types,3.0,WD ,199500,2.0
60,RL,Lvl,Inside,Gilbert,Norm,1Fam,2Story,6,Gable,VinylSd,VinylSd,None,2,PConc,3,813.0,1525,2,Attchd,2.0,WD ,183500,4.0
80,RM,Lvl,Inside,IDOTRR,Norm,1Fam,SLvl,5,Hip,HdBoard,Plywood,None,1,CBlock,4,624.0,1656,2,Attchd,1.0,WD ,126000,2.0
120,RL,Lvl,Inside,NPkVill,Norm,Twnhs,1Story,7,Gable,Plywood,Brk Cmn,None,2,CBlock,4,1055.0,1055,2,Attchd,2.0,WD ,148500,2.0
60,RL,Lvl,Inside,OldTown,Norm,1Fam,2Story,5,Gable,VinylSd,VinylSd,None,2,BrkTil,3,676.0,1352,3,Detchd,2.0,WD ,149000,3.0
160,RL,Lvl,Inside,NPkVill,Norm,Twnhs,2Story,6,Gable,Plywood,Brk Cmn,None,2,CBlock,4,855.0,1456,2,Attchd,2.0,WD ,137900,3.0
120,RL,Lvl,CulDSac,Veenker,Norm,TwnhsE,1Story,8,Gable,BrkFace,BrkFace,None,3,PConc,4,1719.0,1719,3,Attchd,2.0,Con,324000,4.0
30,RL,Lvl,Inside,Edwards,Norm,1Fam,1Story,5,Gable,Stucco,Stucco,None,2,CBlock,3,864.0,864,2,NA,0.0,WD ,98000,2.0
160,RM,Lvl,Inside,BrDale,Norm,Twnhs,2Story,6,Gable,HdBoard,HdBoard,BrkFace,2,CBlock,3,483.0,987,2,Detchd,1.0,WD ,103400,3.0
50,RL,Lvl,Inside,Sawyer,Feedr,1Fam,1.5Fin,5,Gable,VinylSd,VinylSd,None,2,CBlock,3,780.0,1020,2,NA,0.0,WD ,94000,1.0
120,RL,Lvl,Inside,NridgHt,Norm,Twnhs,1Story,8,Gable,VinylSd,VinylSd,Stone,3,PConc,4,1554.0,1554,3,Attchd,2.0,WD ,209500,2.0
60,RL,HLS,CulDSac,StoneBr,Norm,1Fam,2Story,10,Hip,CemntBd,CmentBd,BrkFace,4,PConc,5,1528.0,3390,4,BuiltIn,3.0,New,545224,4.0
70,RM,Lvl,Inside,OldTown,Norm,1Fam,2Story,6,Gable,Wd Sdng,Wd Sdng,None,3,PConc,3,780.0,1560,3,NA,0.0,WD ,159900,2.0
20,RL,Lvl,Corner,Gilbert,Norm,1Fam,1Story,4,Gable,VinylSd,VinylSd,None,2,CBlock,3,864.0,864,2,Detchd,2.0,WD ,141000,1.0
60,RL,Lvl,Inside,Gilbert,Norm,1Fam,2Story,6,Gable,VinylSd,VinylSd,None,2,PConc,4,982.0,1889,2,Attchd,2.0,WD ,215000,3.0
20,RL,Lvl,Corner,Sawyer,Norm,1Fam,1Story,5,Gable,HdBoard,HdBoard,None,2,CBlock,3,1040.0,1040,2,Detchd,1.0,WD ,127000,3.0
20,RL,Lvl,Inside,Edwards,Norm,1Fam,1Story,5,Gable,WdShing,Wd Shng,None,2,CBlock,3,1172.0,1172,2,Attchd,1.0,WD ,128000,2.0
20,FV,Lvl,Inside,Somerst,Norm,1Fam,1Story,8,Gable,CemntBd,CmentBd,None,3,PConc,5,1642.0,1418,3,Attchd,3.0,New,267916,3.0
50,RM,Lvl,Inside,BrkSide,Norm,1Fam,1.5Fin,6,Gable,Wd Sdng,Wd Sdng,None,2,BrkTil,3,884.0,1367,2,Detchd,1.0,WD ,127500,1.0
20,RL,Lvl,Inside,NWAmes,Norm,1Fam,1Story,6,Gable,MetalSd,MetalSd,BrkFace,2,CBlock,4,1422.0,1422,3,Attchd,2.0,WD ,175500,2.0
60,RL,Lvl,Inside,CollgCr,Norm,1Fam,2Story,7,Gable,VinylSd,VinylSd,BrkFace,3,PConc,4,985.0,1842,3,Attchd,2.0,WD ,217500,4.0
50,RM,Lvl,Inside,OldTown,Norm,1Fam,1.5Fin,4,Gable,MetalSd,MetalSd,None,2,CBlock,3,888.0,1962,2,Detchd,2.0,WD ,149500,2.0
20,RL,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,Hip,HdBoard,HdBoard,BrkFace,3,PConc,3,864.0,1120,2,Attchd,2.0,WD ,148800,2.0
